vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
7018,9,Undercity Market,"A black market in a widened tunnel. Stolen goods, information, and things that shouldn't exist.",7014,7022,7019,,7015,7013,7023,,,,The air smells of mildew and old leather from the black market stalls.,The crooked stonework to the north shows marks of ancient hands.,Muffled voices and clinking metal come from the pit to the east.,A faint glow pulses from the insect nest far to the southeast.
7019,9,The Pit,A natural sinkhole. Rope ladders descend into darkness. Fighters gather here for underground bouts.,7015,7023,7020,7018,7016,7014,7024,7022,,,The hollow silence of the sinkhole is broken by distant cheers.,"Rope ladders sway, hanging into shadowed depths below.",A faint hum of organic life rises from the glowing hive to the south.,The cool air carries a hint of crystal dust from the cavern southeast.
7020,9,Cultist Hideout,Robed figures gather around symbols drawn in chalk. They stop chanting when you enter.,"{'target_vnum': 7099, 'locked': True, 'key_vnum': 9814, 'description': 'A locked door blocks the way.'}",7024,7021,7019,7017,7015,7025,7023,,,"Whispers of halted chants hang in the thick, stale air.",The sharp scent of crushed chalk and wax lingers nearby.,A faint metallic tang seeps in from the abandoned lab to the east.,The heavy stones of the pit creak quietly just to the west.
7021,9,Abandoned Lab,Someone was conducting experiments down here. Broken glass and chemical stains. Notes in frantic handwriting.,7017,7025,,7020,,7016,,7024,,,The sharp scent of chemicals and broken glass fills the air.,Cold water sloshes softly from the flooded passage to the north.,Faint acidic vapors drift in from the crystal cavern far below.,Frantic scrawls stained with smudges lie scattered on broken desks.
7022,9,Undercity  -  South Tunnel,A long straight tunnel heading south. The walls are slick with moisture.,7018,,7023,,7019,,7026,,,,"Moisture slicks the polished walls with a cold, clammy touch.",Distant trading murmurs rise faintly from the market to the north.,"A low, rhythmic clicking echoes softly from the hive to the east.",The faint scrape of rope ladders drifts up from the pit nearby.
7023,9,The Hive,Insectoid creatures have built a nest here from secreted resin. Eggs pulse with dim light.,7019,7026,7024,7022,7020,7018,7027,,,,The air pulses with a soft glow from countless insect eggs.,A faint wet rustling comes from the pit to the north.,"Sticky resin glistens on the walls, catching what little light filters in.",Whispers of chanting float up from the cultists hidden northeast.
7024,9,Crystal Cavern,Natural crystals jut from every surface. They glow faintly. Beautiful and disorienting.,7020,7027,7025,7023,7021,7019,,7026,,,"Crystals glow faintly, casting fractured light in every direction.",The sharp scent of chalk and incense drifts from the cultists to the north.,Distant echoes of fighting drift up from the pit to the northwest.,A strange warmth pulses from the sealed room to the southwest.
7025,9,Exit Shaft  -  South,Another vertical shaft. This one leads up to somewhere in the Shattered Crown.,7021,,,7024,,7020,,7027,,,Cool drafts rise from the shaft leading up to the Shattered Crown.,The faint hum of broken machinery lingers from the lab to the north.,Soft glimmers of crystal light seep through cracks nearby.,A subtle warmth radiates from the dead end just to the southwest.
7026,9,The Warden's Room,A sealed chamber. Something is imprisoned here. The door has locks on the outside.,7023,,7027,,7024,7022,,,,,"The heavy door vibrates softly, locked from the outside world.",A faint pulse of warmth seeps from the wall just east of here.,Sticky resin and muted insect clicking come from the hive to the north.,Moisture clings coldly to the walls of the long tunnel nearby.
7027,9,Undercity  -  Dead End,The tunnel ends at a solid wall. But the wall is warm. And it pulses.,7024,,,7026,7025,7023,,,,,A warm pulse radiates from the solid wall ahead.,Faint glimmers seep from the crystals just to the north.,A low hum stirs from the resin nest to the northwest.,Cold metal locks catch the faint scent of rust from the west.
7099,undercity,Undercity Treasury,A forgotten vault beneath the city. Gold coins and strange artifacts fill ancient coffers.,,7020,,,,,,,,,Ancient gold gleams weakly beneath layers of dust and silence.,Faint chalk lines pulse with old power from the chamber to the south.,The air is thick with the scent of wax and old parchment.,"Shadows cling tightly to the corners, hiding forgotten secrets."
8001,8,Training Grounds  -  Entrance,A large archway leads into a complex of training facilities. A sign reads: 'Push Beyond Your Limits.',,8003,,,,,8004,8002,15,,The glass dome above reveals stars drifting silently in the void.,"Monitors flicker nearby, displaying gravity levels with quiet hums.","A heavy air lingers just south, making every breath seem thick.",Sweat-slick floors from chambers southeast glisten under the lights.
8002,8,Gravity Chamber  -  Lobby,A waiting area outside sealed chambers. Monitors display the gravity levels inside. Some show 100x.,,8007,8003,,8001,,8008,8006,,,"Monitors pulse softly, showing gravity levels from light to extreme.",The scent of ozone drifts from training chambers to the east.,A low mechanical hum vibrates from the obstacle course to the south.,Padded floors echo faint thuds from the sparring arena southeast.
8003,8,Gravity Chamber  -  2x,The air feels heavy. Movement requires effort. A good starting point for gravity training.,8001,8008,8004,8002,,,8009,8007,,,"The air feels dense and heavy, pressing down with steady weight.",Sweat collects in small pools where gravity intensifies to the east.,Faint padded thuds come from the sparring arena just south.,"Pendulums swing silently nearby, their shadows slicing the floor."
8004,8,Gravity Chamber  -  10x,Every step is a struggle. Your body weighs ten times normal. Sweat pools on the floor instantly.,,8009,8005,8003,,8001,8010,8008,,,Every breath is thick and labored beneath the crushing weight eastward.,The cold silence of the meditation chamber lies just to the southeast.,Faint echoes of unpadded strikes bounce from the sparring arena south.,The archway to the training grounds northwest glows with distant light.
8005,8,Gravity Chamber  -  50x,Breathing is labor. Standing is triumph. The strongest warriors train here for minutes at a time.,,8010,,8004,,,,8009,,,Each breath drags heavily in the suffocating air of this chamber.,The perfect silence of the meditation room hangs just to the south.,"Sharp, unyielding sounds drift faintly from the advanced sparring ring southwest.",
8006,8,Obstacle Course  -  Start,"A complex obstacle course stretches ahead. Walls to climb, pits to jump, targets to hit.",,8011,8007,,8002,,8012,,,,Walls stretch upward with rough textures ready to be grasped.,Faint light scatters from gravity mirrors hanging to the southeast.,A low buzz from monitors in the lobby northeast hums steadily.,The distant clatter of moving targets echoes from the south.
8007,8,Obstacle Course  -  Mid,Swinging pendulums and balance beams. One wrong step and you start over.,8002,8012,8008,8006,8003,,8013,8011,,,"Pendulums swing in measured arcs, their shadows shifting slowly.",Scattered beams of light dance from gravity mirrors to the south.,Padded thuds and quiet grunts come from the sparring arena east.,The heavy air of gravity chambers drifts faintly from the northeast.
8008,8,Sparring Arena  -  Center,A large circular arena with padded floors. Training partners of various skill levels wait.,8003,8013,8009,8007,8004,8002,8014,8012,,,Soft padding muffles footsteps in the large circular arena.,Sweat and effort mingle with heavier breaths from chambers north.,Glints of light scatter erratically from gravity mirrors to the southwest.,Distant whistles and target pops drift up from the range southeast.
8009,8,Sparring Arena  -  Advanced,The advanced ring. No padding. The partners here don't pull punches.,8004,8014,8010,8008,8005,8003,8015,8013,,,The harsh clang of strikes echoes in the unpadded advanced ring.,A faint chill wafts from the fiery elemental chamber to the southeast.,The muted silence of meditation lies just to the east.,Heavy breaths and labored steps drift softly from the gravity chamber north.
8010,8,Meditation Chamber,A perfectly silent room. Cushions on the floor. The walls absorb all sound and distraction.,8005,8015,,8009,,8004,,8014,,8098,Absolute silence absorbs every sound like a thick velvet shroud.,A faint metallic scent drifts in from the advanced sparring ring west.,"The slow, heavy breaths of warriors training in gravity chambers filter through faintly.",Soft thuds and distant target clicks come from the southwest range.
8011,8,Obstacle Course  -  End,The final stretch. Moving targets and timed gates. Your score is displayed on a board.,8006,,8012,,8007,,8016,,,,Moving targets shift silently just south beyond timed gates.,Glints of scattered light flicker from gravity mirrors to the east.,The swinging pendulums' slow rhythm pulses faintly from the northeast.,The scent of dust and exertion rises from the circular track southeast.
8012,gravity_wells,Mirror Chamber,"Gravity mirrors float at odd angles, scattering beams of light in every direction. If only they could be focused...",8007,8016,8013,8011,8008,8006,8017,,,,Light fractures in countless directions through floating gravity mirrors.,A faint echo drifts from swinging pendulums to the north.,The scent of worn wood and rubber rises from the circular track below.,Soft murmurs and footsteps resonate from the nearby training grounds east.
8013,8,Training Grounds  -  Central Hub,The main crossroads of the training complex. Paths lead to different specializations.,8008,8017,8014,8012,8009,8007,8018,8016,,,Chilled air bites softly from the ice chamber to the southeast.,The muffled sounds of a distant running track mix with pounding feet southwest.,Sharp cracks and distant impacts echo from the advanced sparring arena northeast.,Light fractures and dances from gravity mirrors scattered to the west.
8014,8,Target Range,Ranged combat training. Targets at various distances. Some move. Some shoot back.,8009,8018,8015,8013,8010,8008,8019,8017,,,Distant clangs echo from the advanced sparring ring to the north.,A biting chill drifts up from the icy chamber below.,Warmth flickers faintly from the fire room to the east.,The low hum of electricity crackles from the lightning pylons southeast.
8015,8,Elemental Chamber  -  Fire,A room where controlled flames test your resistance and reflexes. Don't stand still.,8010,8019,,8014,,8009,,8018,,,Heat waves ripple against the cool silence to the north.,A sharp scent of ozone drifts up from the lightning chamber below.,The faint crunch of ice underfoot seeps in from the southwest.,Muted thuds and shouts come from the western target range.
